,pq_id,answer,rank,score
0,9:60-61_316,لقد كان لهم لهم يطع الله يؤمن لهم الكتاب,1,1
1,2:178-179_400,من يرحم ربه يرحم يرحم يحسن الكتاب والرسول,1,1
2,2:190-194_400,ثلاثة أيام,1,1
3,2:243-245_400,من يطع الله ورسوله,1,1
4,4:74-76_400,فإذ جاء الكتاب يؤمن الكتاب يؤمنين,1,1
5,4:74-76_400,يطع الله ورسوله,1,1
6,4:80-84_400,الذين آمنوا,1,1
7,4:80-84_400,يحيى,1,1
8,4:88-91_400,يحيى,1,1
9,4:88-91_400,الناقة,1,1
10,5:32-34_400,من يريد,1,1
11,5:32-34_400,من يطع الله ورسوله يطع الله ورسوله,1,1
12,8:38-40_400,هارون,1,1
13,9:1-6_400,إن الله يهدي الرسول,1,1
14,9:12-16_400,الذين آمنوا,1,1
15,9:28-29_400,يحيى,1,1
16,9:36-37_400,يطع الله لكم يطع الله ورسوله,1,1
17,9:122-123_400,يا أيها الذين آمنوا,1,1
18,17:31-35_400,مدين,1,1
19,25:63-77_400,من هما يطع الله يحسن لنفسه,1,1
20,33:25-27_400,يحيى,1,1
21,33:60-62_400,الذين آمنوا الكتاب,1,1
22,47:1-6_400,يطع الله ورسوله,1,1
23,49:9-10_400,يؤمنين لهم الكتاب يؤمن لكم من يؤ,1,1
24,2:34-39_257,يحيى,1,1
25,7:19-25_257,إن الله يعلم الكتاب يشكر الله يؤتون يؤتون,1,1
26,20:115-123_257,من يطع الله ورسوله,1,1
27,2:83-86_313,يحيا,1,1
28,2:83-86_313,الناقة,1,1
29,2:178-179_313,ثلاثة أيام,1,1
30,2:228-230_313,ثلاثة أيام,1,1
31,2:234-237_313,إن الذين آمنوا,1,1
32,3:145-148_313,إن يؤمن,1,1
33,3:169-175_313,إن الذين آمنوا,1,1
34,4:36-40_313,يحيى,1,1
35,4:122-126_313,إن الذين آمنوا,1,1
36,5:12-13_313,ثلاثة أيام,1,1
37,5:82-86_313,إن الذين آمنوا آمنوا,1,1
38,7:54-56_313,يطع الله ورسوله,1,1
39,9:90-96_313,يحيى,1,1
40,9:100-102_313,يطع الله ورسوله,1,1
41,9:117-121_313,النبي,1,1
42,17:22-30_313,من يطع الله لله يطع الرسول,1,1
43,18:29-31_313,يطعم ربه,1,1
44,22:30-37_313,الذين آمنوا,1,1
45,29:61-69_313,يحي,1,1
46,33:28-31_313,الذين آمنوا يطع الله ورسوله,1,1
47,39:9-10_313,يطع الله ورسوله,1,1
48,39:32-37_313,يحيى,1,1
49,41:33-36_313,يطع الله يطع الله ورسوله,1,1
50,46:15-18_313,يحيى يحيى,1,1
51,53:31-41_313,يطع الله ورسوله,1,1
52,2:124-129_103,ثلاثة أيام,1,1
53,2:124-129_103,الناس يطع الله ورسوله يعقوب,1,1
54,10:65-70_149,من يؤمن الكتاب,1,1
55,20:86-94_163,إن الله يرحمون,1,1
56,20:95-98_163,يحيى,1,1
57,6:161-163_373,يحيى,1,1
58,39:11-20_373,يحيى,1,1
59,104:1-9_107,يطع الله ورسوله,1,1
60,41:13-18_236,يطع الله يطع الله ورسوله,1,1
61,46:21-25_236,من يطع الله ورسوله,1,1
62,51:38-46_236,إن الله يطع الله,1,1
63,54:18-22_236,يحيى,1,1
64,69:1-8_236,يطع الله يعقوب,1,1
